,Date, Open, High, Low, Close, Volume,change,Senti
201,07/24/20,150.5,150.6,147.03,148.12,5405867,0.9399999999999977,1
202,07/23/20,150.21,150.85,149.28,149.61,6566269,1.490000000000009,1
203,07/22/20,149.93,150.405,147.85,150.01,5910193,0.39999999999997726,1
204,07/21/20,149.6,151.6695,149.5,149.74,5579687,-0.2699999999999818,-1
205,07/20/20,150.23,150.32,148.43,149.6,6191457,-0.14000000000001478,-1
206,07/17/20,150.0,150.5776,148.69,149.35,7444124,-0.25,-1
207,07/16/20,148.68,149.34,146.68,149.25,9304669,-0.09999999999999432,-1
208,07/15/20,149.73,150.205,148.23,148.26,8512838,-0.9900000000000091,-1
209,07/14/20,145.32,148.39,145.26,147.92,7447125,-0.3400000000000034,-1
210,07/13/20,143.61,146.639,143.28,145.21,6951941,-2.7099999999999795,-1
211,07/10/20,142.75,142.87,141.425,142.37,4282406,-2.8400000000000034,-1
212,07/09/20,142.76,144.425,140.58,142.49,5738564,0.12000000000000455,1
213,07/08/20,142.87,143.39,141.7,143.27,6257537,0.7800000000000011,1
214,07/07/20,141.39,143.97,141.23,142.85,5622609,-0.4200000000000159,-1
215,07/06/20,142.17,143.77,141.88,142.98,6156354,0.12999999999999545,1
216,07/02/20,141.25,141.8386,140.33,140.97,5152238,-2.009999999999991,-1
217,07/01/20,140.69,141.39,140.06,140.38,6175020,-0.5900000000000034,-1
218,06/30/20,139.4,141.02,137.84,140.63,7738296,0.25,1
219,06/29/20,138.74,139.7,137.98,139.04,5309797,-1.5900000000000034,-1
220,06/26/20,139.53,139.6,137.02,137.81,12849740,-1.2299999999999898,-1
221,06/25/20,140.57,140.57,137.54,139.67,7421160,1.8599999999999852,1
222,06/24/20,141.49,142.19,138.72,139.82,8211239,0.15000000000000568,1
223,06/23/20,143.74,144.08,142.68,142.86,5921594,3.0400000000000205,1
224,06/22/20,143.47,143.66,142.03,143.39,5285631,0.5299999999999727,1
225,06/19/20,145.79,145.88,143.25,143.83,12194090,0.44000000000002615,1
226,06/18/20,142.52,144.115,141.87,143.41,4797449,-0.4200000000000159,-1
227,06/17/20,144.9,145.42,143.47,144.02,5100095,0.6100000000000136,1
228,06/16/20,144.09,145.4219,142.77,144.46,7582631,0.4399999999999977,1
